time	V(vin)	V(vout)	I(R1)
1.086439239991989e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.087463239991895e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.088487239991800e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.089511239991705e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.090535239991610e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.091559239991515e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.092583239991420e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.093607239991325e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.094631239991230e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.095655239991135e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.096679239991040e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.097703239990946e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.098727239990851e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.099751239990756e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.100775239990661e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.101799239990566e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.102823239990471e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.103847239990376e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.104871239990281e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.105895239990186e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.106919239990091e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.107943239989997e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.108967239989902e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.109991239989807e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.111015239989712e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.112039239989617e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.113063239989522e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.114087239989427e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.115111239989332e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.116135239989237e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.117159239989142e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.118183239989048e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.119207239988953e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.120231239988858e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.121255239988763e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.122279239988668e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.123303239988573e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.124327239988478e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.125351239988383e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.126375239988288e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.127399239988193e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.128423239988099e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.129447239988004e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.130471239987909e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.131495239987814e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.132519239987719e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.133543239987624e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.134567239987529e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.135591239987434e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.136615239987339e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.137639239987245e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.138663239987150e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.139687239987055e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.140711239986960e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.141735239986865e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.142759239986770e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.143783239986675e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.144807239986580e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.145831239986485e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.146855239986390e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.147879239986296e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.148903239986201e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.149927239986106e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.150951239986011e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.151975239985916e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.152999239985821e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.154023239985726e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.155047239985631e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.156071239985536e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.157095239985441e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.158119239985347e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.159143239985252e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.160167239985157e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.161191239985062e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.162215239984967e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.163239239984872e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.164263239984777e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.165287239984682e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.166311239984587e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.167335239984492e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.168359239984398e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.169383239984303e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.170407239984208e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.171431239984113e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.172455239984018e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.173479239983923e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.174503239983828e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.175527239983733e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.176551239983638e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.177575239983543e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.178599239983449e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.179623239983354e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.180647239983259e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.181671239983164e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.182695239983069e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.183719239982974e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.184743239982879e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.185767239982784e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.186791239982689e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.187815239982594e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.188839239982500e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.189863239982405e-003	2.000000e+001	2.000000e+000	2.000000e-004
